,Company,Ticker,,Exchange,Sector,Market Cap
550,Volkswagen AG - ZC PRF PERPETUAL EUR,VOW3,🇩🇪,Frankfurt Stock Exchange,Automobiles & Parts,€24.1bn
551,Volvo AB - Class B Shares,VOLV B,🇸🇪,Stockholm Stock Exchange,Automobiles & Parts,kr360.0bn
552,Vonovia SE,VNA,🇩🇪,Frankfurt Stock Exchange,Real Estate Investment & Services,€16.1bn
553,Warehousing & Distribution De Pauw,WDP,🇧🇪,Euronext Brussels,Support Services,€5.3bn
554,Wartsila Oyj Abp,WRT1V,🇫🇮,Helsinki Stock Exchange,Technology Hardware & Equipment,€6.7bn
555,Weir Group plc,WEIR,🇬🇧,London Stock Exchange,Industrial Engineering,£4.7bn
556,Wendel,MF,🇫🇷,Euronext Paris,Financial Services,€3.9bn
557,Whitbread plc,WTB,🇬🇧,London Stock Exchange,Travel & Leisure,£7.3bn
558,WH Smith Plc,SMWH,🇬🇧,London Stock Exchange,Retailers,£1.9bn
559,Wienerberger AG,WIE,🇦🇹,Vienna Stock Exchange,Construction & Materials,€3.3bn
560,Wirecard AG,WDI,🇩🇪,Frankfurt Stock Exchange,Financial Services,€6mn
561,Wolters Kluwers NV,WKL,🇳🇱,Euronext Amsterdam,Financial Services,€29.1bn
562,Worldline,WLN,🇫🇷,Euronext Paris,Financial Services,€9.3bn
563,WPP Plc.,WPP,🇬🇧,London Stock Exchange,Media,£8.5bn
564,Yara International ASA.,YAR,🇳🇴,Oslo Stock Exchange,Chemicals,kr104.3bn
565,Zalando SE,ZAL,🇩🇪,Frankfurt Stock Exchange,Support Services,€8.0bn
566,Zurich Insurance Group AG Ltd,ZURN,🇨🇭,SIX Swiss Exchange,Life Insurance,Fr.63.2bn
