,Company,Ticker,,Exchange,Sector,Market Cap
196,Ferrovial S.A.,FER,🇪🇸,Barcelona Stock Exchange,Commercial Transportation,€12.8bn
197,Finecobank SpA,FBK,🇮🇹,Italian Stock Exchange,Financial Services,€8.1bn
198,F.L.Smidth & Co. AS,FLS,🇩🇰,Copenhagen Stock Exchange,Industrial Engineering,kr.18.2bn
199,Flughafen Zurich AG.,FHZN,🇨🇭,SIX Swiss Exchange,Travel & Leisure,Fr.5.6bn
200,Flutter Entertainment Plc,FLTR,🇮🇪,Irish Stock Exchange,Travel & Leisure,€30.1bn
201,Fortum Oyj,FORTUM,🇫🇮,Helsinki Stock Exchange,"Gas, Water & Multiutilities",€10.8bn
202,Fraport AG,FRA,🇩🇪,Frankfurt Stock Exchange,Travel & Leisure,€4.6bn
203,Freenet AG,FNTN,🇩🇪,Frankfurt Stock Exchange,Telecomms,€2.6bn
204,Fresenius Medical Care AG & Co. KGaA,FME,🇩🇪,Frankfurt Stock Exchange,Health Care Equipment & Services,€14.1bn
205,Fresenius SE & Co. KGaA,FRE,🇩🇪,Frankfurt Stock Exchange,Health Care Equipment & Services,€16.6bn
206,Fuchs Petrolub SE - Preference Share,FPE3,🇩🇪,Frankfurt Stock Exchange,Energy,€2.6bn
207,Galapagos NV,GLPG,🇳🇱,Euronext Amsterdam,Pharmaceuticals & Biotechnology,€2.4bn
208,Galenica AG,GALE,🇨🇭,SIX Swiss Exchange,Health Care Equipment & Services,Fr.3.4bn
209,Galp Energia Sgps - Class B Shares,GALP,🇵🇹,Euronext Lisbon,Oil & Gas Producers,€9.4bn
210,GEA Group AG,G1A,🇩🇪,Frankfurt Stock Exchange,Engineering,€6.6bn
211,Geberit AG,GEBN,🇨🇭,SIX Swiss Exchange,Health Care Equipment & Services,Fr.17.0bn
212,Gecina Nom.,GFC,🇫🇷,Euronext Paris,Real Estate Investment Trusts,€7.5bn
213,Genmab,GMAB,🇩🇰,Copenhagen Stock Exchange,Pharmaceuticals & Biotechnology,kr.170.0bn
214,Georg Fischer AG,GF,🇨🇭,SIX Swiss Exchange,Industrial Engineering,Fr.4.9bn
215,Gerresheimer AG,GXI,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€3.9bn
216,Getinge AB - Class B Shares,GETI B,🇸🇪,Stockholm Stock Exchange,Pharmaceuticals & Biotechnology,kr49.3bn
217,Getlink SE - Class A Shares,GET,🇫🇷,Euronext Paris,Commercial Transportation,€8.6bn
218,Givaudan SA,GIVN,🇨🇭,SIX Swiss Exchange,Personal Goods,Fr.26.8bn
219,Gjensidige Forsikring ASA,GJF,🇳🇴,Oslo Stock Exchange,Nonlife Insurance,kr77.2bn
220,Glanbia Plc,GL9,🇮🇪,Irish Stock Exchange,Food Producers,€3.8bn
221,Glencore plc,GLEN,🇬🇧,London Stock Exchange,Mining,£56.3bn
222,GN Store Nord A.S.,GN,🇩🇰,Copenhagen Stock Exchange,Leisure Goods,kr.26.3bn
223,Great Portland Estates plc,GPE,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£1.1bn
224,Grenke AG,GLJ,🇩🇪,Frankfurt Stock Exchange,Financial Services,€1.1bn
225,Grifols SA,GRF,🇪🇸,Barcelona Stock Exchange,Pharmaceuticals & Biotechnology,€8.5bn
226,Groupe Bruxelles Lambert (New),GBLB,🇧🇪,Euronext Brussels,General Industrials,€11.0bn
227,GSK Plc,GSK,🇬🇧,London Stock Exchange,Pharmaceuticals & Biotechnology,£56.8bn
228,Halma plc,HLMA,🇬🇧,London Stock Exchange,Electronic & Electrical Equipment,£8.2bn
229,Hammerson plc,HMSO,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£1.4bn
230,Hannover Ruck SE,HNR1,🇩🇪,Frankfurt Stock Exchange,Nonlife Insurance,€24.3bn
231,Hargreaves Lansdown Plc,HL.,🇬🇧,London Stock Exchange,General Financial,£3.8bn
232,Hays plc,HAS,🇬🇧,London Stock Exchange,Support Services,£1.7bn
233,HeidelbergCement AG,HEI,🇩🇪,Frankfurt Stock Exchange,Construction & Materials,€14.5bn
234,Heineken Holdings,HEIO,🇳🇱,Euronext Amsterdam,Beverages,€21.9bn
235,Heineken N.V,HEIA,🇳🇱,Euronext Amsterdam,Beverages,€52.2bn
236,HELLA GmbH & Co. KGaA,HLE,🇩🇪,Frankfurt Stock Exchange,Automobiles & Parts,€7.6bn
237,Helvetia Holding AG,HELN,🇨🇭,SIX Swiss Exchange,Nonlife Insurance,Fr.7.1bn
238,Henkel AG & Co. KGAA - Preference Share,HEN3,🇩🇪,Frankfurt Stock Exchange,Chemicals,€12.4bn
