ticker,recommendationMean,numberOfAnalystOpinions,beta,trailingEps,forwardEps,forwardPE,priceToBook,priceToFcf,enterpriseToRevenue,enterpriseToEbitda,ebitdaMargins,profitMargins,revenueGrowth,payoutRatio,debtToEquity,returnOnAssets,returnOnEquity,quickRatio,currentRatio
OERL.SW,2.6,7.0,0.4544820646542518,0.5279562102717891,1.2539836603461825,0.8259771452251575,0.7856435061508753,1.2116649285120211,-0.5925166287307158,-0.626767109384639,-0.9339617578110547,-1.2704935846409005,-0.6700723994929818,2.181585933320928,-2.6622343473777383,-1.463831055976005,-1.347134829228373,-0.0033214084573503972,-0.44109985308625776
OMV.VI,2.4,20.0,1.591008315660493,-0.015827980840353445,1.4319239764038103,1.0679987937979636,0.40534713438083847,1.6561894044189949,-0.3742216360057059,-0.5093812890290071,-0.020085346424630928,-0.9565214586266589,-0.44034213384793625,1.4271976636663117,0.59251499682675,-0.19912218888988498,-0.95350169719372,-0.408940016159299,0.9650892166693414
ORA.PA,2.2,19.0,-0.5826871661627792,0.3172744325551532,0.7338000338084699,-0.045258424377900716,0.6559535816627586,0.37580641145280147,-0.9084894165751042,-1.1370709125955165,-0.20257814448653336,-0.3833963598689343,-0.4938141948308022,0.25171049432839937,0.20573323458785817,-0.5728632478721313,-0.44031218505574266,1.5083950266599109,1.1139199952607648
ORNBV.HE,2.6,8.0,0.30519905070562214,0.8477510761227388,-0.8453089216011709,-0.8413428862821624,-0.7407300811017665,-0.6132355201962165,-0.08289621775831113,-0.2854146289131155,0.06398556892959849,0.9001339464992435,0.08046472505121355,0.441647532459894,1.0842566239693479,1.4909292898528594,1.1425556056020925,1.7915370445258412,1.4640125529089094
ORK.OL,2.8,8.0,-1.709686491607566,1.5373091328135093,1.3567230083740838,1.2667972950995323,0.6396466145784043,-0.86573197827041,-0.3334147123000713,-0.7308638048699275,0.07647720834341716,0.4329898753390927,1.4623510686372512,-0.19364292473914366,0.45518638444413545,-0.1732372254358343,-0.2563307347581825,-0.4585408803427648,-0.2056481228148507
PKN.WA,2.1,9.0,-0.7980519047856468,2.0104484763342523,0.8512898368908096,0.832114067114749,0.4629666209698027,-0.06499844118463963,-0.4783547486030016,-0.6954976969243222,-0.520849240783743,0.6442416874027764,2.2627040053469964,-1.1398201097336134,1.4910042822687277,0.36151420497618664,0.9045351810854825,-0.6158363134394624,-0.8833019949177006
ORSTED.CO,2.4,27.0,-0.987457818045564,-0.7313080599321524,-0.8817792473719126,-1.005566090306398,-0.35112144683526136,-0.20256803180326718,0.4938399979335415,1.1179290912616993,-1.1481947784996154,-0.900709714913835,-0.8297711667909459,1.1363787810231,-0.6380028854005181,-0.5221517070373446,-0.914732245823518,0.6709454725522886,0.4951588823630489
PNDORA.CO,2.6,15.0,1.6022489310217352,0.9453616132894203,1.2703100729901333,0.7842938978657413,-1.023569809969299,1.1457348418576814,-0.517595200382454,-0.5699542420359635,-0.29361608831849717,0.136349832784935,-1.4163440203061988,-1.1620255277372191,-1.709853177599189,1.0012483541448614,1.7149403311352762,-1.0170508820512338,-0.7922068130458058
PGHN.SW,2.3,14.0,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476,0.7071067811865474,0.7071067811865475,0.7071067811865478,-0.7071067811865476,0.7071067811865475,0.7071067811865476,-0.7071067811865476,0.7071067811865475,0.7071067811865476,0.7071067811865477,0.7071067811865475
PIRC.MI,1.9,16.0,-0.7071067811865475,0.7071067811865475,-0.7071067811865448,-0.7071067811865475,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865481,0.7071067811865475,0.7071067811865474,-0.7071067811865475,-0.7071067811865475,0.7071067811865475,0.7071067811865477,-0.7071067811865471,0.7071067811865476,0.7071067811865476
PROX.BR,3.2,14.0,-0.4480569336393578,0.8658365480877853,1.6343863124097326,0.1405778203309247,0.7455041134145255,0.22116916319783703,-1.3605139649981033,-1.4784033096922837,-1.2144024392293693,-0.2711354485646365,1.0166762834751808,-0.01834122887770704,0.6804139573505861,-0.3208176714402834,-0.0438314080054973,-1.4955794359491223,-0.7231683427254018
PRY.MI,2.3,14.0,0.7054421435827308,-0.29958223798296596,-0.124393151092421,0.22756299590587317,0.31972916616177766,0.31501012098260966,-0.801948266620488,-0.46978004575060645,-1.0214636027101698,-0.8058140553602496,-0.5284400029274802,-1.102802975368112,-1.0431463336776414,-0.5966219647334211,-0.02746829551982421,-0.2890421168390195,-0.36102536799407803
PSPN.SW,2.2,9.0,-0.7915040481114547,0.6840030234259737,-0.5332328072456847,-0.5024383122493083,-0.4369626232917342,-1.153030778662682,1.0850289464573428,1.152687660003795,1.0269202220416935,0.7280014587889,-1.154446582811203,-0.5773502691896257,0.9533702643360552,-0.8407887126760759,0.57190855789002,-0.8190317772224924,-1.1526587488710414
PUB.PA,2.1,17.0,-0.7071067811865474,0.7071067811865474,0.7071067811865477,0.7071067811865476,-0.7071067811865475,0.7071067811865475,-0.7071067811865477,-0.7071067811865475,0.7071067811865501,0.7071067811865472,0.7071067811865475,0.7071067811865476,0.7071067811865476,0.7071067811865475,0.707106781186548,-0.7071067811865476,-0.7071067811865472
RAND.AS,3.6,14.0,-0.707106781186552,0.7071067811865475,-0.7071067811865487,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476,-0.7071067811865432,-0.7071067811865485,0.7071067811865486,0.7071067811865477,-0.7071067811865476,-0.7071067811865475,0.7071067811865474,0.7071067811865474,0.7071067811865476,0.7071067811865468,0.7071067811865489
REC.MI,2.7,12.0,-0.4260320057942757,-0.6215800545090511,-0.5545851841520738,-0.4134666247101349,-0.5117940708585345,-0.4157798435870389,1.864229979812846,0.287974401369735,0.564628165517291,0.4923437732931952,0.40751489784001704,0.0891061520873623,-1.0394862797220215,-0.059243526447102714,0.18681580885314122,0.5669856438515377,-0.2704550509710305
RED.MC,3.3,19.0,-1.0138930379879518,-0.2076571069152095,0.17823573871097528,0.2779884793767511,1.1085198862395609,0.44656802149816943,0.27667240333375387,0.0010700904982232958,0.5324971597089223,0.6942588334448019,-0.03582503930411996,1.100098780228801,1.118723032625115,-0.6629338832455671,-0.6052862039341508,1.1415263383390524,0.7939119680250312
RNO.PA,2.3,20.0,0.7071067811865479,-0.7071067811865475,0.7071067811865474,0.7071067811865478,0.7071067811865465,0.7071067811865476,0.7071067811865474,0.7071067811865482,0.7071067811865475,0.7071067811865476,0.7071067811865474,-0.7071067811865476,-0.7071067811865477,-0.7071067811865475,0.7071067811865479,0.707106781186547,-0.7071067811865495
REP.MC,2.0,26.0,0.2242157692484729,-0.4742400839546805,0.6731982806024593,0.7285285021246865,0.4239646368070587,-0.029860427598657938,-0.4078007918794715,-0.22596661513566155,-0.7704262109833097,-0.6954763254322119,-0.4195151410308041,0.18926341125875107,0.3581147328914859,-0.8536155097328935,-0.8517939026894047,0.15925280025189548,-0.036804249788237146
ROG.SW,2.1,22.0,-1.8291247849719579,0.6586279760747339,0.9057686457310163,0.9499900992186524,-1.2842705454045393,-0.3900019544669901,-0.1776347523392382,-0.6280303269530056,0.6089874547330993,0.25248935008705253,-1.757245769666825,0.3174915630570335,-0.34904140784714854,0.7889146105594117,1.1360041896118696,-0.5096564584267118,-0.7059765649760227
RBREW.CO,2.6,15.0,-0.4631269640134597,-0.9503421043782984,-1.3702914346402122,-1.4192676441527496,-1.4286515198534544,0.45716314101311256,0.43315407359391894,1.2785431482860834,-0.5731169177253556,0.9453111688177847,1.3793157253210502,1.2272168717702798,-1.4548697391614491,1.488799593649109,1.4810845053536268,-1.0188465176142363,0.21239911893791907
RUI.PA,2.0,7.0,0.7071067811865479,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865477,-0.7071067811865475,-0.7071067811865476,0.7071067811865459,-0.7071067811865475,0.7071067811865476,0.7071067811865476,-0.7071067811865475,-0.7071067811865483,-0.7071067811865475,0.7071067811865475,-0.7071067811865471
SPM.MI,2.0,14.0,1.3150114452425254,-1.6047856651213408,-0.86348564929326,-0.7091897344236748,0.652152656811537,-0.18406439247579034,-0.6824670114146848,-0.6904441552047018,-1.0052791638644292,-0.8111359418882782,0.08030266399684456,-1.1364866011123358,-0.9351598104274974,-0.7248025952685483,-1.2528841953637122,-0.5789040222260298,-0.592374704618783
SALM.OL,2.1,10.0,-0.7071067811865476,-0.7071067811865478,-0.707106781186548,-0.7071067811865476,0.7071067811865475,0.7071067811865475,-0.7071067811865475,-0.7071067811865476,0.7071067811865476,0.7071067811865475,0.7071067811865474,0.7071067811865471,-0.7071067811865475,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865475
SAMPO.HE,2.2,17.0,-0.24927628565806279,-0.8704021556036262,-1.2124308710836296,-1.6333824710839482,-1.3796063962895695,-0.019278178777745528,-0.08400469410758185,-0.24936727711496978,1.1500277174499711,-1.5577456606164732,0.8643143716135973,1.034838242611923,1.081579079321007,1.5119556499929432,-0.3635830388243193,0.1484935223857084,0.5665422695353268
SAND.ST,2.3,23.0,1.0663130821613318,0.07797294866839612,0.2488813127109766,0.4321147479183678,0.3265914810881729,0.17256244742194943,0.05195530503032504,-0.31047476742355845,0.9115247080775196,-0.15540758908638533,1.020119754042223,-0.3825921441756394,-0.37930326738600767,0.15634816342152968,-0.14608098583149398,-0.054471098700541974,0.5694198103477153
SAN.PA,2.3,24.0,0.39582583103733404,1.1304740414691379,1.3714760663180339,1.1564696932218759,1.0724661789884276,-0.2888203366318272,-1.0252953249054273,-0.6874958101760213,-0.0666911806969235,0.4092544859240344,-0.4646188962634589,-0.21499910819920406,1.0393284709654218,-0.6601458003118359,-0.622674210928873,-0.6782042635757027,-0.6577263680891722
SRT3.F,2.0,19.0,-0.4445027931739724,-0.028772527007807157,-1.6734129041157284,-2.021583733218048,-1.253818821759772,-1.2163393255172692,0.6287613736210974,0.398395947616973,0.8951299938746704,0.25958176436006325,-1.202047383419726,-0.8137741832181348,-1.630530191280543,0.5364245527563045,1.0644636409211534,-0.940022215032467,-0.5637615090633601
DIM.PA,2.3,10.0,-1.495576023170635,0.9771332591156676,-0.3133796071558067,0.25031733486781943,-0.4817617217107492,-0.8977123609091847,0.8015919874153004,0.3888149687860503,1.2409513867025344,1.4199950155354797,-1.3278815447694492,-0.7533768805574138,0.057136290981601126,1.1934612165391385,1.070542574665168,-0.5926904633861741,0.5951018385911223
SBMO.AS,1.8,10.0,-1.4125106798229312,0.8781430161276654,0.5883463676987519,0.6145276689829375,0.7542589162990104,-0.05258626873902615,-0.4584823973155684,-0.540079627078846,-0.12887156546322254,-0.11103715390738436,-0.6282502536223729,-0.009787677279534664,-1.232747291036015,-0.26550812041437166,0.28942526190068535,1.209945363223968,0.5274184381803951
SCHP.SW,2.9,19.0,-1.6378877990236833,-0.9972938716977213,-0.8227023753589581,-0.3761398064943718,-0.08715016222133869,0.3407311818331957,-0.3546410798118055,0.01653415921190556,-0.7576769462748614,-0.5175372385903405,0.009581588171968273,-0.09646934180940048,1.1005510137063113,-0.28848750455339056,0.034344375712889647,1.126621748733154,-0.18781714674751007
SU.PA,2.4,25.0,-0.5870344736621814,-0.6271296808701977,-0.3957357450570552,0.03886481641626885,0.19113781018789575,0.23521292108494568,0.2048455440027245,0.25658565591808874,0.4532152068453406,0.38183273190277023,0.1705522694610354,-0.3853872277907929,-0.3635122704481168,-0.1805149818400348,-0.44018882308308954,-0.0033214084573503972,-0.6473816448466811
SCR.PA,2.4,14.0,0.7071067811865478,-0.7071067811865476,0.707106781186548,0.7071067811865475,0.7071067811865477,0.7071067811865476,-0.7071067811865475,-0.7071067811865462,-0.7071067811865476,-0.7071067811865475,0.7071067811865475,-0.7071067811865477,0.7071067811865472,0.7071067811865476,-0.7071067811865474,0.7071067811865475,0.7071067811865476
SIE.F,1.8,24.0,0.07772831145855204,0.09342983106458796,0.538642748055636,0.5796366773894299,0.47429062682834355,0.2909181828228143,-0.15259267136054186,0.06093143857720717,-0.24417184881850937,0.4729996032334156,-0.18716035562578043,-0.550301658751148,-1.2471202878511105,-0.9536819195077239,-0.017101130630611708,-0.1660704228675049,-0.1904283086685278
LIGHT.AS,2.2,14.0,0.9846479418176523,1.4847521647838817,1.4487600773585925,1.3092446886609508,1.2140096880035147,0.8510180137501887,-0.8469456336172674,-1.17289095982352,-0.590560114341814,-0.9014900811590633,-0.975009019485914,1.2946582033546625,0.8503836360689523,-1.061689101280006,-1.1581176242741456,-0.7254904674924936,-0.603020573788474
