"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"GY:IGYB","Innogy Z Verk","IGYB","08/14/2023","Global Equity","Common stocks","Developed markets ex-US","Utilities","DE000A2LQ2L3","BG0SC98","0","EUR","Analyze"
"GY:ILM1","Medios Ag","ILM1","11/22/2016","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000A1MMCC8","B8JVC03","0","EUR","Analyze"
"GY:INH","INDUS Holding AG","INH","09/14/1995","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006200108","","0","EUR","Analyze"
"GY:INS","Instone Real Estate Group Nv","INS","02/15/2018","Global Equity","Common stocks","Developed markets ex-US","Real Estate","NL0012757355","BG00JQ0","0","EUR","Analyze"
"GY:ISR1","Isra Vision V Ag","ISR1","03/16/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A254W60","BL83676","0","EUR","Analyze"
"GY:KGXA","Kion Group Rights Ag","KGXA","08/14/2023","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A3H22F2","BMC7422","0","EUR","Analyze"
"GY:KRN","Krones AG","KRN","09/11/1998","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006335003","","0","EUR","Analyze"
"GY:KTN","KONTRON AG","KTN","11/20/2000","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","","","0","EUR","Analyze"
"GY:LEG","Leg Immobilien Coupon Right","LEG","02/01/2013","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000LEG1227","BMD0453","0","EUR","Analyze"
"GY:LHA","Deutsche Lufthansa AG","LHA","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0008232125","","0","EUR","Analyze"
"GY:LHAR","Deutsche Lufthansa Rights Ag","LHAR","09/23/2021","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A3E5B58","BNKJBP9","0","EUR","Analyze"
"GY:LIN","Linde plc","LIN","12/13/2002","Global Equity","Comon stocks","Developed markets ex-US","Materials","","","0","EUR","Analyze"
"GY:LINU","LINDE AG","LINU","08/14/2023","Global Equity","Common stocks","Developed markets ex-US","Materials","DE000A2E4L75","BF8K6K8","0","EUR","Analyze"
"GY:LNSX","Sixt Leasing SE","LNSX","05/06/2015","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A0DPRE6","BX3JSJ9","0","EUR","Analyze"
"GY:LNSZ","Sixt Leasing V","LNSZ","05/05/2020","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A2888L0","BL5JZJ2","0","EUR","Analyze"
"GY:LPK","Lpkf Laser & Electronics Ag","LPK","11/30/1998","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE0006450000","5569711","0","EUR","Analyze"
"GY:M0Y","Mynaric AG","M0Y","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A0JCY11","","0","EUR","Analyze"
"GY:M8G","Media And Games Invest Plc","M8G","07/22/2011","Global Equity","Common stocks","Developed markets ex-US","Communication Services","MT0000580101","B65KBK3","0","EUR","Analyze"
"GY:MBB","MBB SE","MBB","05/09/2006","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000A0ETBQ4","","0","EUR","Analyze"
"GY:MBG","Daimler AG","MBG","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007100000","","0","EUR","Analyze"
"GY:MOR","MorphoSys AG","MOR","03/09/1999","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0006632003","","0","EUR","Analyze"
"GY:MRX","Mister Spex SE","MRX","07/02/2021","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","","","0","EUR","Analyze"
"GY:MTX","MTU Aero Engines AG","MTX","06/06/2005","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000A0D9PT0","","0","EUR","Analyze"
"GY:MUV2","Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München","MUV2","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0008430026","","0","EUR","Analyze"
"GY:NB2","Northern Data Ag","NB2","10/05/2018","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A0SMU87","BWT5WX6","0","EUR","Analyze"
"GY:NDXB","Nordex Rights","NDXB","07/02/2021","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A3E5CX4","BMF7YG3","0","EUR","Analyze"
"GY:NOEJ","NORMA Group SE","NOEJ","04/08/2011","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000A1H8BV3","","0","EUR","Analyze"
"GY:O2D","Telefónica Deutschland Holding AG","O2D","10/30/2012","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE000A1J5RX9","","0","EUR","Analyze"
"GY:P911","Porsche AG","P911","09/29/2022","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","","","0","EUR","Analyze"
"GY:PAH3","Porsche Automobil Holding SE","PAH3","12/04/1997","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000PAH0038","7101069","0","EUR","Analyze"
